Record Type	CDS Code
School	01100170123968
School	01100176001788
School	01100170138867
School	01100176002000
School	01100176114896
School	01100176159271
School	01100170125567
School	01100170124172
School	01611196967434
School	01611196100374
School	01611196110779
School	01611196202253
School	01611197094865
School	01611196204697
School	01611196147607
School	01611196090005
School	01611196090013
School	01611196090021
School	01611196090039
School	01611196090088
School	01611196141212
School	01611196148738
School	01611196090062
School	01611196090047
School	01611196090070
School	01611190139220
School	01611196995591
School	01611196090096
School	01611196922470
School	01611190111765
School	01611196965883
School	01611196965891
School	01611196973077
School	01611190131805
School	01611196141683
School	01611196090104
School	01611196090120
School	01611196090138
School	01611270126631
School	01611276085583
School	01611277081953
School	01611276090146
School	01611276090153
School	01611276095376
School	01611276116222
School	01611276090179
School	01611436972533
School	01611436135743
School	01611436932768
School	01611436097729
School	01611436142236
School	01611436972723
School	01611436989784
School	01611436130207
School	01611436090195
School	01611436148506
School	01611436141709
School	01611437101199
School	01611437103203
School	01611436900757
School	01611436090211
School	01611436090229
School	01611436090245
School	01611437090822
School	01611436090237
School	01611436069603
School	01611436090252
School	01611436105316
School	01611436090286
School	01611436090260
School	01611437102916
School	01611436090302
School	01611436146401
School	01611436090187
School	01611436973085
School	01611436972988
School	01611436090278
School	01611436140016
School	01611436967442
School	01611436928766
School	01611436090310
School	01611436090203
School	01611436994651
School	01611436090328
School	01611436090336
School	01611436143846
School	01611506148373
School	01611506906556
School	01611506090351
School	01611506090369
School	01611506090377
School	01611506090393
School	01611506113005
School	01611506090401
School	01611506970651
School	01611506090419
School	01611506090427
School	01611506090435
School	01611507098957
School	01611506913131
School	01611506995450
School	01611506090443
School	01611506090450
School	01611506090468
School	01611506090476
School	01611506146716
School	01611506090484
School	01611506205512
School	01750930136929
School	01750936001366
School	01750936001374
School	01750930108571
School	01750936001382
School	01750936001390
School	01750930123935
School	01750930131615
School	01750936118038
School	01750930114579
School	01750936001424
School	01750936001432
School	01750936959878
School	01750937012222
School	01750937103989
School	01750936972657
School	01611686090492
School	01611686154553
School	01611686000517
School	01611767047533
School	01611766000533
School	01611766104723
School	01611766152276
School	01611766159222
School	01611767089451
School	01611766000558
School	01611766089320
School	01611766000566
School	01611760138990
School	01611766000582
School	01611766000590
School	01611766111330
School	01611766106983
School	01611766090500
School	01611766139778
School	01611766000624
School	01611766000632
School	01611766000640
School	01611766972731
School	01611766140461
School	01611766090518
School	01611766000665
School	01611766000673
School	01611766000541
School	01611766000723
School	01611766066468
School	01611766000681
School	01611766090526
School	01611766155717
School	01611766922389
School	01611760138982
School	01611766113872
School	01611766000707
School	01611766000608
School	01611766976013
School	01611766090534
School	01611766000749
School	01611766993778
School	01611767047236
School	01611766000756
School	01611766000574
School	01611766000764
School	01611766145940
School	01611766090542
School	01611766068746
School	01611766000780
School	01611766970628
School	01611766000798
School	01611766000806
School	01611767100902
School	01611766967483
School	01611766138762
School	01611766132872
School	01611766972996
School	01611766090559
School	01611766206023
School	01611766118897
School	01611766000822
School	01611766000715
School	01611766000830
School	01611766000848
School	01611766089619
School	01611766159115
School	01611926965909
School	01611926090567
School	01611926975999
School	01611926000863
School	01611926000871
School	01611926000889
School	01611926090575
School	01611926000905
School	01611926908719
School	01611926135545
School	01611926000913
School	01611926000921
School	01611926090583
School	01611926000947
School	01611926132690
School	01611926000954
School	01611926000962
School	01611926113815
School	01611926000970
School	01611926000988
School	01611920119248
School	01611926000996
School	01611926001002
School	01611926001010
School	01611926001085
School	01611926001028
School	01611920127696
School	01611926001036
School	01611927003304
School	01611926001044
School	01611926001051
School	01611926001069
School	01611926001077
School	01611927081276
School	01611927103286
School	01611926200877
School	01611926001093
School	01611926095863
School	01611926001101
School	01611926001119
School	01611926001127
School	01611926965917
School	01611926001135
School	01611926001143
School	01611926001150
School	01611926001168
School	01611926001176
School	01611926972871
School	01611926972970
School	01611920111815
School	01611926103998
School	01611926062160
School	01611926001184
School	01611926001192
School	01611926104566
School	01611926001200
School	01611926995559
School	01612006159180
School	01612006001218
School	01612006001226
School	01612006117543
School	01612006071674
School	01612006071906
School	01612006151682
School	01612006001259
School	01612006001267
School	01612007102163
School	01612006001275
School	01612006001283
School	01612006001291
School	01612006001234
School	01612000135376
School	01612006110332
School	01612000107839
School	01612006071666
School	01612006001317
School	01612006995583
School	01612006089338
School	01612006001325
School	01612006134092
School	01612006158794
School	01612006001333
School	01612007081383
School	01612006967525
School	01612006981849
School	01612007103823
School	01612006097661
School	01612006900773
School	01612006976005
School	01612186001358
School	01612266001408
School	01612266001366
School	01612266001374
School	01612266001382
School	01612266001390
School	01612266001416
School	01612266001424
School	01612266001432
School	01612266066484
School	01612426001572
School	01612426001580
School	01612426118525
School	01612426150932
School	01612426001598
School	01612426115554
School	01612426001606
School	01612426001614
School	01612426138648
School	01612426977862
School	01612426101604
School	01612426001622
School	01612426959837
School	01612426115505
School	01612346001440
School	01612346001531
School	01612346001499
School	01612347055411
School	01612346001457
School	01612346001473
School	01612346001481
School	01612346001507
School	01612346001523
School	01612346001465
School	01612346001549
School	01612346972921
School	01612347045446
School	01612590111476
School	01612590100693
School	01612596002273
School	01612597082266
School	01612596001630
School	01612590114363
School	01612596094734
School	01612596118608
School	01612590109819
School	01612590128413
School	01612590120188
School	01612590108803
School	01612596117568
School	01612590130732
School	01612597092083
School	01612597071632
School	01612596141519
School	01612596928725
School	01612596001655
School	01612596967475
School	01612596998397
School	01612596002075
School	01612596001663
School	01612596001671
School	01612596089353
School	01612596001689
School	01612596001697
School	01612590131672
School	01612596001648
School	01612596156608
School	01612590130518
School	01612596001721
School	01612596001739
School	01612597104391
School	01612590115204
School	01612590114454
School	01612596001754
School	01612596069629
School	01612597095292
School	01612596143077
School	01612596069637
School	01612590100123
School	01612590115600
School	01612596001796
School	01612596001812
School	01612590102988
School	01612596138184
School	01612596002190
School	01612596001770
School	01612590132514
School	01612596001820
School	01612590112813
School	01612596001838
School	01612590115576
School	01612596001846
School	01612596001853
School	01612590115584
School	01612596001861
School	01612597071970
School	01612596001879
School	01612590115618
School	01612596119911
School	01612597083397
School	01612596095707
School	01612596001887
School	01612596001911
School	01612596057046
School	01612596001929
School	01612596001713
School	01612596117402
School	01612596151062
School	01612597072606
School	01612596118616
School	01612596001937
School	01612596001945
School	01612597099518
School	01612596001895
School	01612590115014
School	01612596120570
School	01612596096523
School	01612596001986
School	01612596133722
School	01612596001994
School	01612590115592
School	01612590130633
School	01612596002018
School	01612596002026
School	01612596002034
School	01612590130658
School	01612596133912
School	01612596002182
School	01612596002042
School	01612590110247
School	01612596002059
School	01612596001952
School	01612596072235
School	01612596002067
School	01612596118640
School	01612596906549
School	01612596001978
School	01612596002083
School	01612596072243
School	01612596143069
School	01612596001903
School	01612596117972
School	01612597054018
School	01612597102296
School	01612596116891
School	01612597081524
School	01612597082241
School	01612596205629
School	01612596998470
School	01612596002091
School	01612596150544
School	01612596002109
School	01612596002117
School	01612596002125
School	01612596002133
School	01612596994727
School	01612590110239
School	01612596995542
School	01612596002141
School	01612596117394
School	01612597092463
School	01612590110262
School	01612596002158
School	01612596205223
School	01612590131896
School	01612596972962
School	01612596973010
School	01612590110254
School	01612596002166
School	01612596156228
School	01612596140131
School	01612596002174
School	01612596001804
School	01612596967517
School	01612596972863
School	01612596972897
School	01612596972939
School	01612596973002
School	01612596967491
School	01612596973044
School	01612596960694
School	01612596967533
School	01612596972913
School	01612596140487
School	01612596001960
School	01612596141048
School	01612590100719
School	01612590100792
School	01612596002216
School	01612596002208
School	01612596002224
School	01612596095871
School	01612590123711
School	01612596002232
School	01612596002240
School	01612596002257
School	01612596002265
School	01612590109983
School	01612756002281
School	01612756972632
School	01612756002299
School	01612756002307
School	01612756973135
School	01612836002315
School	01612836002323
School	01612836066500
School	01612836002331
School	01612836002349
School	01612836089361
School	01612836002356
School	01751016002315
School	01751016977425
School	01751016001366
School	01751016002323
School	01751016114318
School	01751016001416
School	01751016159263
School	01751016117600
School	01751016143788
School	01751016002349
School	01751016089361
School	01751016002356
School	01612916972574
School	01612916002364
School	01612916002372
School	01612916002380
School	01612916002398
School	01612916002406
School	01612916002414
School	01612916002422
School	01612916002430
School	01612917072317
School	01612916002448
School	01612916118830
School	01612916970636
School	01612916002455
School	01612916002463
School	01613096002471
School	01613096002489
School	01613096002505
School	01613096972624
School	01613097103500
School	01613096002521
School	01613096002539
School	01613096002547
School	01613096002554
School	01613096002570
School	01613096002588
School	01613096002596
School	01613096002604
School	01613096002612
School	01613096002620
School	01613096002638
School	01613096002646
School	01613096002653
School	01613096002661
School	01613096157481
School	01613096903454
School	01613096972947
School	01613096970602
School	01613096002679
School	01613096002695
School	01613096156848
School	01613256002711
School	01751196002711
School	02613336114573
School	02613336002778
School	02613330137125
School	02613336002786
School	02613336002794
School	02613336106256
School	02613336089551
School	02613336002802
School	03100336152359
School	03739816910335
School	03739816002810
School	03739816002828
School	03739817093537
School	03739816002844
School	03739816002851
School	03739816002869
School	03739816002877
School	03739816983357
School	03613416002810
School	03613586002828
School	03613586002836
School	03613666089551
School	03613666002844
School	03613666002851
School	03613666002869
School	03613666002877
School	04613826002919
School	04613826133458
School	04614086002943
School	04614086002950
School	04614246119523
School	04614246002968
School	04614246973168
School	04614246113773
School	04614247034820
School	04614246002976
School	04614246002984
School	04614246101513
School	04614246111116
School	04614240118042
School	04614246002992
School	04614246003008
School	04614246153449
School	04614247083439
School	04614247037567
School	04614246134118
School	04614246109722
School	04614246003032
School	04614246003024
School	04614247057631
School	04614246003040
School	04614246003057
School	04614240110551
School	04614246967582
School	04614246003065
School	04614246003073
School	04614246003016
School	04614247043482
School	04614247064702
School	04614246003081
School	04614246003099
School	04614240121475
School	04614246003107
School	04614240123810
School	04614326003115
School	04614576003131
School	04614576118244
School	04614576204580
School	04614570125252
School	04614576003149
School	04755076003156
School	04755076003172
School	04614656003156
School	04614656003164
School	04614656003172
School	04614996003198
School	04615077082886
School	04615076003206
School	04615076003214
School	04615076003222
School	04615076003230
School	04615076003248
School	04615076003123
School	04615076134126
School	04615070121509
School	04615070110072
School	04615076003255
School	04615076003263
School	04615076906598
School	04615076120919
School	04615076143556
School	04615076926109
School	04615076003271
School	04615070129577
School	04615076094957
School	04615236973887
School	04615237102650
School	04615230110510
School	04615236003289
School	04615236089080
School	04615236003297
School	04615230123687
School	04615236115067
School	04615236116693
School	04615236115034
School	04615310110338
School	04615316003347
School	04615316003305
School	04615316113526
School	04615316113765
School	04615316132948
School	04615310118257
School	04615316003313
School	04615310139329
School	04615316105522
School	04615316003339
School	04615316967566
School	04733796115950
School	04733796002927
School	04733796002901
School	04733796153225
School	04615496121016
School	04615496003354
School	04615490101485
School	04615490102327
School	04615496003362
School	04615496003370
School	05615646003388
School	05615646108518
School	05615646003404
School	05615646143465
School	05615646003420
School	05615646003438
School	05615646003446
School	05615646003453
School	05615727078538
School	05615726003388
School	05615726117006
School	05615726003461
School	05615806088975
School	05615806003396
School	05615806003412
School	05615806003479
School	06615986003495
School	06615986905780
School	06616066003503
School	06616146003511
School	06616146003529
School	06616146003537
School	06616146003545
School	06616226003552
School	06616220118729
School	07616306152177
School	07616486115703
School	07616480115063
School	07616487067143
School	07616486003578
School	07616486003586
School	07616486142616
School	07616480106583
School	07616486143309
School	07616486117501
School	07616486003594
School	07616486115380
School	07616486967640
School	07616486110514
School	07616486003602
School	07616487095334
School	07616480100461
School	07616486003610
School	07616486084941
School	07616486108989
School	07616480113761
School	07616480119586
School	07616487103013
School	07616480137430
School	07616480134478
School	07616480134411
School	07616480131045
School	07616480134064
School	07616487082373
School	07616486003628
School	07616486003636
School	07616550110528
School	07616556003644
School	07616557032378
School	07616556142657
School	07616556003651
School	07616556070981
School	07616557072507
School	07616556159677
School	07616556135602
School	07616556117410
School	07616556146799
School	07616550108019
School	07616550127464
School	07616550102376
School	07616556119754
School	07616556109730
School	07616556112718
School	07616636140669
School	07616630139667
School	07616636114714
School	07616636101943
School	07616636003669
School	07616636119838
School	07616630130930
